
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: WEST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (38, 20) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 20) | Move: WEST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 20) | Move: WEST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 20) | Move: WEST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 20) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 19) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 19) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 18) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 18) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 17) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (38, 17) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (39, 17) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (39, 17) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 17) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 17) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 18) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 18) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 19) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 19) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 20) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 21) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 21) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 22) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 22) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 23) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 23) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (40, 24) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (0, 24) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (0, 24) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (1, 24) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (1, 24) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (2, 24) | Move: EAST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (3, 24) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (3, 24) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (3, 23) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (3, 22) | Move: WEST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (3, 22) | Move: WEST | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (2, 22) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (2, 22) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (2, 21) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (2, 21) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (2, 20) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (2, 19) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (2, 19) | Move: NORTH | Managing size to 168 (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 18) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 18) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 17) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 16) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 16) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 15) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 14) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 14) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 13) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (2, 13) | Move: NORTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 12) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 11) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 11) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 10) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 9) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 9) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 8) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 7) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 7) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 6) | Move: NORTH | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (2, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (3, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (3, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING SWORD] Head: (4, 5) | Move: EAST | Safe path to Sword (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (5, 5) | Move: SOUTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (5, 5) | Move: SOUTH | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (5, 6) | Move: EAST | Safe path to InstantStack (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 6) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 6) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 7) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 8) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 8) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[EATING (Growing)] Head: (6, 9) | Move: SOUTH | Managing size to 168 (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (6, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (6, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (5, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (4, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (3, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
[CHASING INSTANTSTACK] Head: (3, 10) | Move: WEST | Safe path to InstantStack (Tier 1 (Fully Safe))
